2025-06-01 14:43:42 Line: 11, : Request start: ::1
2025-06-01 14:43:45 Line: 11, : Request start: ::1
2025-06-01 14:44:13 Line: 11, : Request start: ::1
2025-06-01 14:45:26 Line: 11, : Request start: ::1
2025-06-01 14:45:38 Line: 11, : Request start: ::1
2025-06-01 14:47:37 Line: 11, : Request start: ::1
2025-06-01 14:48:02 Line: 11, : Request start: ::1
2025-06-01 14:49:15 Line: 11, : Request start: ::1
2025-06-01 14:49:40 Line: 11, : Request start: ::1
2025-06-01 14:49:56 Line: 11, : Request start: ::1
2025-06-01 14:52:38 Line: 11, : Request start: ::1
2025-06-01 14:54:46 Line: 11, : Request start: ::1
2025-06-01 14:56:48 Line: 11, : Request start: ::1
2025-06-01 14:56:52 Line: 11, : Request start: ::1
2025-06-01 14:57:07 Line: 11, : Request start: ::1
2025-06-01 14:57:08 Line: 11, : Request start: ::1
2025-06-01 14:57:19 Line: 11, : Request start: ::1
2025-06-01 14:57:34 Line: 11, : Request start: ::1
2025-06-01 14:57:59 Line: 11, : Request start: ::1
2025-06-01 14:59:08 Line: 11, : Request start: ::1
2025-06-01 14:59:13 Line: 11, : Request start: ::1
2025-06-01 14:59:21 Line: 11, : Request start: ::1
2025-06-01 15:00:32 Line: 11, : Request start: ::1
2025-06-01 15:03:45 Line: 11, : Request start: ::1
2025-06-01 15:05:02 Line: 11, : Request start: ::1
2025-06-01 15:05:03 Line: 11, : Request start: ::1
2025-06-01 15:05:11 Line: 11, : Request start: ::1
2025-06-01 15:05:52 Line: 11, : Request start: ::1
2025-06-01 15:06:42 Line: 11, : Request start: ::1
2025-06-01 15:06:52 Line: 11, : Request start: ::1
2025-06-01 15:06:52 Line: 11, : Request start: ::1
2025-06-01 15:07:00 Line: 11, : Request start: ::1
2025-06-01 15:07:01 Line: 11, : Request start: ::1
2025-06-01 15:08:06 Line: 11, : Request start: ::1
2025-06-01 15:08:33 Line: 11, : Request start: ::1
2025-06-01 15:08:42 Line: 11, : Request start: ::1
2025-06-01 15:09:05 Line: 11, : Request start: ::1
2025-06-01 15:09:08 Line: 11, : Request start: ::1
2025-06-01 15:10:00 Line: 11, : Request start: ::1
2025-06-01 15:16:52 Line: 11, : Request start: ::1
2025-06-01 15:17:02 Line: 11, : Request start: ::1
2025-06-01 15:17:20 Line: 11, : Request start: ::1
2025-06-01 15:17:32 Line: 11, : Request start: ::1
2025-06-01 15:17:49 Line: 11, : Request start: ::1
2025-06-01 15:18:07 Line: 11, : Request start: ::1
2025-06-01 15:18:17 Line: 11, : Request start: ::1
2025-06-01 15:18:20 Line: 11, : Request start: ::1
2025-06-01 15:18:21 Line: 11, : Request start: ::1
2025-06-01 15:18:31 Line: 11, : Request start: ::1
2025-06-01 15:19:20 Line: 11, : Request start: ::1
2025-06-01 15:19:24 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2025-06-01 15:19:24 Line: 95, APISubiektGT\SubiektGT\document->get: Request finish: ::1
2025-06-01 15:19:34 Line: 11, : Request start: ::1
2025-06-01 15:19:47 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 177
2025-06-01 15:19:47 Line: 95, APISubiektGT\SubiektGT\document->get: Request finish: ::1
2025-06-01 15:20:09 Line: 11, : Request start: ::1
2025-06-01 15:20:09 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2025-06-01 15:20:09 Line: 95, APISubiektGT\SubiektGT\document->get: Request finish: ::1
2025-06-01 15:20:13 Line: 11, : Request start: ::1
2025-06-01 15:20:13 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 177
2025-06-01 15:20:13 Line: 95, APISubiektGT\SubiektGT\document->get: Request finish: ::1
2025-06-01 15:14:21 Line: 11, : Request start: ::1
2025-06-01 15:14:21 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 15:14:21 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 15:14:22 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: A_OLEJ
2025-06-01 15:14:22 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 60
2025-06-01 15:14:22 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA123
2025-06-01 15:14:55 Line: 11, : Request start: ::1
2025-06-01 15:14:56 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 15:14:56 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 15:14:56 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: A_OLEJ
2025-06-01 15:14:56 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 60
2025-06-01 15:14:56 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA123
2025-06-01 15:15:43 Line: 11, : Request start: ::1
2025-06-01 15:15:43 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 15:15:43 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 15:15:43 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: A_OLEJ
2025-06-01 15:15:43 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 60
2025-06-01 15:15:43 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA123
2025-06-01 15:16:21 Line: 11, : Request start: ::1
2025-06-01 15:16:21 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 15:16:21 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 15:16:21 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: A_OLEJ
2025-06-01 15:16:21 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 60
2025-06-01 15:16:21 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA123
2025-06-01 15:16:22 Line: 282, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: ZK 6/2025
2025-06-01 15:16:22 Line: 95, APISubiektGT\SubiektGT\order->add: Request finish: ::1
2025-06-01 15:17:13 Line: 11, : Request start: ::1
2025-06-01 15:17:13 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 15:17:14 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 15:17:14 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: A_OLEJ
2025-06-01 15:17:14 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 60
2025-06-01 15:17:14 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA123
2025-06-01 15:17:14 Line: 282, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: ZK 7/2025
2025-06-01 15:17:14 Line: 95, APISubiektGT\SubiektGT\order->add: Request finish: ::1
2025-06-01 15:18:08 Line: 11, : Request start: ::1
2025-06-01 15:30:50 Line: 11, : Request start: ::1
2025-06-01 15:30:50 Line: 95, APISubiektGT\SubiektGT\order->makesaledoc: Request finish: ::1
2025-06-01 15:31:00 Line: 11, : Request start: ::1
2025-06-01 15:31:00 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 15:31:00 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 15:31:00 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: A_OLEJ
2025-06-01 15:31:00 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 60
2025-06-01 15:31:00 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA123
2025-06-01 15:34:14 Line: 11, : Request start: ::1
2025-06-01 15:34:15 Line: 146, APISubiektGT\SubiektGT\Customer->add: Utworzono klienta od klienta: 1273168911
2025-06-01 15:34:15 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 103
2025-06-01 15:34:15 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 15:34:15 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: A_OLEJ
2025-06-01 15:34:15 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 60
2025-06-01 15:34:15 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA123
2025-06-01 15:35:24 Line: 11, : Request start: ::1
2025-06-01 15:35:24 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 15:35:24 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 15:35:24 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: A_OLEJ
2025-06-01 15:35:25 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 60
2025-06-01 15:35:25 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA123
2025-06-01 15:38:11 Line: 11, : Request start: ::1
2025-06-01 15:38:12 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 15:38:12 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 15:38:12 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: A_OLEJ
2025-06-01 15:38:12 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 60
2025-06-01 15:38:12 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA123
2025-06-01 15:39:06 Line: 11, : Request start: ::1
2025-06-01 15:39:06 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 15:39:06 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 15:39:07 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: A_OLEJ
2025-06-01 15:39:07 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 60
2025-06-01 15:39:07 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA123
2025-06-01 15:45:31 Line: 11, : Request start: ::1
2025-06-01 15:45:31 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 15:47:58 Line: 11, : Request start: ::1
2025-06-01 15:47:58 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 15:47:58 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 15:47:59 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: A_OLEJ
2025-06-01 15:47:59 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 60
2025-06-01 15:47:59 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA123
2025-06-01 15:48:47 Line: 11, : Request start: ::1
2025-06-01 15:48:48 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 15:48:48 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 15:48:48 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: A_OLEJ
2025-06-01 15:48:48 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 60
2025-06-01 15:48:48 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA123
2025-06-01 15:49:17 Line: 11, : Request start: ::1
2025-06-01 15:49:17 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 15:49:17 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 15:49:18 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: A_OLEJ
2025-06-01 15:49:18 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 60
2025-06-01 15:49:18 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA123
2025-06-01 15:51:07 Line: 11, : Request start: ::1
